53,40,45
61,49,54
74,64,69
102,94,100
136,131,137
161,157,164
171,170,177
189,189,196
197,200,207
201,205,211
201,205,211
203,208,215
197,202,208
201,205,210
199,204,209
191,195,201
173,175,179
157,159,163
145,145,149
102,100,104
70,65,69
59,51,55
51,43,47
38,28,33
28,18,22
24,13,18
23,12,16
22,11,15
21,10,15
21,10,15
21,10,15
26,15,20
36,26,31
46,36,41
60,52,57
94,87,92
132,129,134
158,157,162
170,170,176
190,191,197
200,202,209
190,192,194
190,191,193
189,191,193
179,184,183
181,185,184
180,185,183
180,183,183
170,171,171
160,161,160
150,151,148
114,116,112
90,91,85
79,81,74
72,74,66
60,61,52
53,54,45
49,51,41
49,50,40
46,47,37
45,46,35
44,45,34
44,45,34
47,49,38
56,57,47
64,65,56
79,80,72
106,107,101
131,132,128
156,157,154
166,167,165
185,185,184
194,194,194
199,200,199
197,199,198
199,201,200
195,196,196
198,199,199
199,199,200
198,199,194
174,176,172
168,169,165
146,147,143
106,108,103
89,90,84
63,64,59
50,51,45
35,36,30
27,28,22
22,23,17
20,21,15
17,18,12
16,17,11
15,16,9
14,16,9
19,20,14
23,24,17
40,41,35
53,54,49
83,85,81
103,104,101
154,154,154
166,166,167
184,184,185
185,185,187
197,199,200
198,199,200
201,202,203
198,200,200
199,200,200
183,186,187
180,182,183
162,163,165
143,143,145
130,130,132
111,111,112
96,95,96
72,71,72
64,62,63
49,48,47
39,38,36
35,33,31
34,33,30
26,25,21
27,26,22
26,24,20
25,23,19
28,26,22
31,29,24
44,42,37
54,52,47
78,75,71
93,89,86
127,122,120
151,146,144
153,147,147
164,160,160
175,169,170
189,183,183
205,199,200
196,191,192
197,191,193
190,183,185
191,184,187
178,171,174
164,157,160
141,135,137
111,105,108
93,86,89
68,62,65
61,54,56
47,41,43
40,34,35
31,25,26
29,23,24
25,18,20
24,17,19
24,18,19
25,18,19
28,22,22
31,25,25
45,39,39
54,49,49
79,74,75
95,89,91
128,123,124
154,148,150
151,148,151
165,161,163
174,169,174
190,184,187
207,201,204
199,195,198
196,191,194
188,183,187
186,180,185
185,180,186
154,148,154
134,130,134
114,110,113
98,95,97
74,70,72
65,61,61
51,47,47
41,37,35
37,32,30
36,32,29
29,24,22
31,26,23
31,25,23
30,25,22
33,27,23
36,30,26
48,43,40
60,54,52
83,77,78
97,91,93
155,149,152
164,158,161
182,176,178
187,183,189
177,172,178
181,176,178
179,172,171
168,161,162
147,137,138
149,140,140
133,124,121
121,112,111
95,87,87
90,82,80
82,76,75
77,71,71
72,67,67
66,60,62
56,51,52
49,44,46
43,38,40
40,35,37
39,35,37
39,35,37
41,37,38
41,37,38
47,43,45
53,49,51
71,67,69
83,79,80
96,90,89
102,95,94
120,112,110
120,112,107
128,120,113
127,118,114
126,118,117
135,128,125
138,132,129
138,131,128
138,131,126
142,134,131
133,124,120
131,123,117
118,109,103
114,106,100
97,89,83
95,84,78
80,74,72
78,71,69
65,61,61
61,58,58
51,48,49
48,45,46
46,44,45
45,43,44
46,44,45
47,45,46
53,50,51
55,53,54
60,57,59
62,59,60
72,69,71
76,72,74
99,95,96
106,103,104
116,113,115
132,129,133
157,153,157
170,165,169
158,153,157
168,162,167
175,168,172
160,153,155
142,136,137
134,128,127
106,101,99
105,99,96
93,88,84
97,91,84
95,89,80
97,90,82
90,81,68
86,75,64
79,69,56
78,67,56
86,72,59
98,80,60
89,74,54
80,68,52
94,82,64
95,83,65
96,85,62
114,104,87
113,104,92
118,108,94
128,120,106
132,123,108
138,129,116
136,129,124
143,137,130
150,142,134
151,142,132
147,140,132
155,149,140
144,140,132
146,139,126
135,128,116
125,118,99
117,110,90
96,89,71
95,87,65
100,91,69
92,81,55
97,85,61
85,74,61
86,75,57
91,76,57
85,71,46
85,72,46
91,76,48
84,71,47
96,82,57
93,80,54
93,79,48
102,90,62
99,87,64
103,90,66
117,105,82
126,115,89
131,121,96
132,122,107
134,125,107
139,129,110
141,129,108
139,128,110
143,132,113
136,126,109
131,121,101
124,113,93
116,105,81
103,91,67
92,81,60
90,77,53
95,83,58
86,72,43
88,74,46
78,64,46
81,67,45
85,69,45
83,67,37
80,65,39
84,69,43
78,65,43
88,75,51
88,76,52
88,75,48
95,83,58
93,82,62
98,86,64
109,98,78
117,106,84
123,114,90
123,114,99
128,120,103
135,125,108
138,128,110
136,126,110
138,129,112
132,124,110
129,120,103
125,116,98
120,111,91
110,101,81
103,94,78
103,93,75
109,99,82
100,88,67
103,92,73
94,83,70
96,84,69
108,95,80
99,86,67
