16,28,62
16,29,61
16,29,61
17,30,61
17,30,61
19,32,61
20,32,60
20,33,60
22,35,60
22,35,60
24,35,60
26,37,60
26,37,59
29,41,68
27,39,68
29,41,68
32,43,69
34,46,70
35,46,69
37,48,70
35,46,69
40,50,71
40,50,70
41,51,71
42,51,70
46,63,90
45,63,91
45,63,93
48,67,95
47,62,90
51,64,88
56,68,91
54,69,94
52,69,96
66,92,120
72,99,124
70,95,121
88,109,120
91,112,120
93,115,125
90,113,127
78,102,119
74,97,115
89,107,112
94,113,122
93,114,124
84,109,126
80,105,124
94,113,121
94,114,124
90,113,125
92,117,130
89,114,131
97,122,135
98,122,136
98,120,131
101,123,132
102,122,130
102,123,130
102,121,128
103,121,128
112,128,126
117,135,132
119,135,124
124,140,128
129,145,129
137,142,123
142,137,118
134,125,102
131,122,99
142,132,102
147,142,104
145,141,103
133,136,99
129,135,100
119,127,96
106,115,82
97,107,74
94,102,67
96,104,67
99,105,67
99,105,66
97,103,63
96,102,63
98,105,64
98,105,64
100,106,64
98,105,63
99,105,63
99,105,63
98,105,62
97,104,63
97,104,62
101,108,64
101,108,64
102,108,64
101,107,64
100,106,63
99,105,62
99,106,63
99,105,63
97,104,62
97,104,62
98,104,63
103,112,69
102,112,69
104,114,71
104,114,71
104,115,71
105,115,72
107,116,73
108,117,74
111,119,76
111,119,75
111,120,75
110,118,74
103,112,71
96,107,66
96,108,68
90,102,62
84,97,57
100,111,69
95,108,66
93,106,64
92,106,65
91,105,64
90,104,63
93,108,67
94,109,69
93,109,68
91,106,66
89,105,65
88,103,65
109,123,79
107,122,79
109,123,80
108,123,80
107,122,79
120,134,88
124,137,90
124,138,91
124,138,91
126,140,93
125,140,94
111,126,83
111,125,83
108,123,82
109,124,83
108,122,83
105,119,81
104,118,80
103,117,80
103,117,81
103,117,80
96,110,73
96,109,72
96,109,73
96,109,73
96,109,73
92,106,70
94,107,71
94,107,71
95,107,71
95,107,71
106,117,77
108,119,79
108,119,79
110,120,80
110,120,81
99,110,73
99,110,73
101,111,75
102,112,76
100,110,74
88,99,65
89,99,64
90,100,65
89,99,65
88,99,65
90,101,66
90,98,64
85,93,59
85,93,60
85,92,59
89,97,63
91,100,65
90,99,64
89,97,63
84,92,58
84,93,58
90,98,62
92,100,64
93,102,66
94,102,66
95,103,68
94,101,65
90,96,60
90,97,60
92,99,63
94,101,64
93,101,64
107,114,76
106,113,75
104,112,74
104,111,74
102,110,72
105,113,75
104,113,75
104,113,75
103,112,75
101,110,73
99,108,72
85,97,68
84,96,67
83,96,66
83,95,66
82,95,66
90,101,72
89,101,71
89,101,72
90,101,72
90,102,73
94,106,75
94,106,76
94,106,76
95,106,76
96,107,77
76,90,63
78,91,64
77,91,64
77,91,64
78,92,64
79,93,65
89,102,67
91,103,69
92,105,70
92,105,70
93,106,71
114,123,83
115,124,84
116,125,85
114,123,83
116,125,85
109,120,81
108,120,81
109,120,81
107,118,80
105,117,78
107,118,80
122,132,91
121,132,91
123,133,92
120,130,90
116,127,87
86,98,64
88,94,62
81,81,52
82,81,52
89,83,53
97,90,58
102,95,61
102,95,60
108,103,63
117,111,67
121,114,69
122,115,69
122,115,69
122,116,70
122,115,70
122,115,70
122,115,70
122,115,70
122,115,70
122,116,70
122,116,70
121,115,69
122,115,69
127,111,63
126,110,63
126,110,63
126,110,62
126,110,62
126,110,62
126,110,62
126,110,62
125,109,62
125,109,62
125,109,62
141,123,83
141,123,84
141,123,84
141,124,85
141,124,85
141,124,85
141,124,85
141,124,84
141,124,85
141,124,85
141,124,84
205,202,144
204,201,146
206,203,147
210,207,152
209,207,150
204,201,145
206,203,147
207,205,149
209,205,150
209,205,150
206,203,149
198,196,142
203,200,146
199,196,143
200,200,147
198,202,152
199,205,157
198,203,154
201,205,155
198,202,153
198,203,154
202,207,157
198,202,153
197,201,151
200,204,154
200,203,153
198,201,151
198,201,151
198,201,151
199,203,154
201,206,158
195,197,151
194,197,151
193,196,151
194,196,150
194,197,152
196,199,153
196,199,152
195,198,153
196,199,152
194,197,154
188,192,151
172,174,139
168,170,135
169,171,137
167,168,135
167,168,135
175,178,143
173,176,142
174,177,143
174,177,143
173,175,143
124,122,96
125,123,97
124,122,95
122,121,94
124,122,96
125,123,96
129,128,101
130,129,101
129,128,101
129,129,102
130,129,102
81,86,65
81,86,65
82,86,66
82,87,66
82,86,66
77,82,62
75,81,61
77,82,62
75,81,61
75,81,61
75,84,65
75,84,65
75,84,65
75,84,65
76,85,65
73,82,64
74,84,65
73,83,64
72,82,63
72,82,63
71,81,62
81,90,70
80,89,69
81,90,70
80,89,69
78,87,68
79,88,67
78,87,67
79,88,68
80,89,68
77,87,66
80,88,67
77,64,45
77,64,45
77,64,46
77,64,46
77,64,46
77,68,53
77,68,54
77,68,54
77,68,54
77,68,54
77,68,54
77,68,54
148,160,140
153,167,147
175,188,155
166,177,149
164,175,150
172,180,144
166,176,147
164,174,144
173,181,149
161,174,152
171,181,149
151,161,135
151,160,133
142,149,119
143,152,117
133,143,110
132,141,107
117,124,93
107,112,82
103,108,79
100,99,73
101,98,72
100,94,69
97,89,63
101,93,67
97,89,62
95,85,60
93,82,58
95,83,59
95,82,58
95,80,56
97,80,55
100,82,56
102,84,57
106,87,57
109,90,60
110,89,59
111,94,62
123,109,73
146,127,86
156,135,92
164,140,94
167,142,95
166,139,93
167,140,93
167,140,94
160,131,89
151,122,83
143,114,78
146,117,79
149,115,79
153,121,79
157,128,83
164,133,87
171,143,92
171,144,93
172,145,93
172,145,93
171,144,92
174,147,94
173,146,93
174,147,94
172,146,93
173,146,94
185,159,99
184,158,99
184,158,99
188,162,101
188,162,101
185,159,99
185,159,100
186,160,99
185,159,99
184,158,97
185,159,99
185,159,99
184,159,98
184,159,98
186,160,97
186,160,97
185,159,96
184,160,95
184,160,95
184,159,95
184,159,95
148,109,74
148,109,74
148,109,74
148,109,74
147,109,74
149,110,75
149,110,75
149,111,75
149,111,75
149,111,75
206,152,108
207,154,109
208,155,110
208,155,110
208,155,110
216,146,105
212,141,102
210,136,97
213,138,99
214,140,102
213,149,111
212,148,111
197,143,106
197,143,106
184,133,99
161,118,87
161,119,88
143,117,86
143,118,86
110,95,70
109,94,70
102,97,79
100,101,86
100,101,86
99,101,85
92,102,89
93,105,93
94,106,93
93,108,99
93,109,99
76,97,96
76,97,96
80,105,112
80,105,112
80,105,112
80,105,112
80,106,112
88,102,87
87,101,86
87,101,86
87,101,86
86,101,85
95,94,71
95,94,72
95,94,72
95,94,71
94,93,71
62,64,46
62,63,46
61,63,45
61,63,45
61,63,45
61,63,45
47,52,34
47,53,34
47,53,34
47,53,34
47,53,34
50,55,36
50,55,36
50,55,36
50,55,36
50,55,36
47,52,36
47,53,36
47,52,36
47,52,36
47,52,36
43,52,38
43,52,38
43,52,38
43,52,38
43,52,38
48,57,42
