71,74,38
70,74,36
71,75,37
70,75,37
70,75,36
70,75,36
70,75,36
70,75,36
70,75,36
70,75,36
71,75,36
70,75,35
70,75,35
70,74,35
70,74,35
70,74,35
71,74,35
70,74,34
70,74,35
70,74,35
70,74,35
71,75,35
71,75,34
71,75,34
71,75,35
71,75,35
71,74,35
71,74,35
71,75,35
70,75,35
70,75,35
70,75,36
70,75,36
68,73,34
68,73,34
68,72,34
67,71,33
66,70,32
65,70,31
64,69,31
63,68,30
62,68,29
61,67,29
60,66,28
58,65,27
57,64,26
56,63,25
55,63,25
53,62,23
52,61,22
51,60,22
50,59,21
47,57,20
46,57,19
45,56,18
44,55,17
43,55,17
42,54,17
41,54,17
41,54,17
40,52,17
39,51,16
38,51,16
37,50,15
37,49,15
36,49,14
35,48,14
34,47,13
33,47,13
32,46,12
30,44,11
29,43,10
27,42,10
25,41,9
25,40,8
24,39,8
22,38,7
21,37,6
20,37,6
20,37,6
19,36,5
18,36,5
18,36,5
18,36,5
18,35,5
17,35,4
18,36,5
17,35,5
18,35,5
18,35,4
18,36,4
18,36,5
18,36,4
18,36,4
18,36,4
18,36,4
19,37,4
19,37,4
19,37,4
18,35,4
21,41,5
21,42,5
21,42,5
21,41,5
20,40,5
20,41,4
21,41,4
21,41,5
21,41,5
20,41,4
20,41,4
20,41,5
21,41,5
20,41,5
20,41,5
20,41,5
20,41,5
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
20,40,4
20,40,4
21,41,5
20,41,5
20,40,4
20,40,4
20,40,5
20,40,5
20,40,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
21,42,4
20,41,4
20,41,4
20,41,4
20,41,4
20,41,4
19,41,4
20,40,4
19,40,4
19,39,4
19,40,4
19,40,4
19,40,4
20,41,4
21,42,5
22,42,5
23,42,5
24,43,5
25,43,5
26,45,5
27,45,6
28,45,6
28,45,6
28,45,6
28,45,6
29,47,7
30,48,6
31,49,7
31,50,7
32,50,8
32,51,8
33,51,8
33,51,8
33,51,8
33,52,8
33,52,8
34,52,9
34,52,9
34,52,9
34,52,9
34,52,9
34,52,9
34,52,8
34,51,8
35,52,8
36,54,8
35,53,8
36,55,8
35,56,9
37,60,9
37,59,9
37,59,9
37,59,9
37,59,9
36,58,8
36,58,8
36,58,8
35,58,8
35,58,8
36,59,8
36,59,9
36,58,9
36,58,9
36,58,9
36,58,9
36,57,10
36,57,10
37,57,10
37,57,10
37,56,10
37,55,10
36,55,10
36,54,11
36,53,10
36,52,10
36,52,10
36,51,11
36,50,10
36,49,10
36,49,10
35,48,10
35,47,10
35,47,10
35,46,10
35,46,10
35,45,11
34,44,11
34,43,11
35,43,11
36,43,11
41,49,11
41,49,10
44,52,11
43,51,11
43,51,11
42,50,11
42,50,11
42,50,11
42,48,11
42,48,11
41,47,10
41,46,10
40,46,10
40,45,10
40,44,10
39,43,10
37,42,9
39,45,9
38,48,8
39,53,7
41,57,7
41,57,7
40,57,7
39,56,7
39,57,7
39,58,7
39,58,7
38,58,7
36,56,6
41,57,6
53,60,6
62,60,5
69,64,5
69,63,5
69,63,5
69,63,5
69,63,4
69,64,5
70,64,4
70,65,5
71,65,5
71,65,5
71,65,5
72,65,6
73,66,6
72,66,6
73,67,7
74,68,8
75,70,10
76,70,11
77,71,12
77,71,14
78,72,14
77,72,15
78,73,16
76,71,16
76,71,15
